ANO_ARQUIVO;TEXTO_NORMALIZADO;Ano;MÇ¦s;Empresa;Categoria;Origem;EspÇ¸cie;Desdobramento 1;Desdobramento 2;Desdobramento 3;Tipo de receita;Desdobramento interno 1;Desdobramento interno 2;Desdobramento interno 3;Desdobramento interno 4;Indicador de parcelamento;Indicador de deduÇõÇo;Desdobramento interno 5;Previsto;Arrecadado
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO | 009 - OPERACO URBANA FARIA LIMA - OUTORGA HIS | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 3840000.00 | 355962.89;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;009 - OPERAÇO URBANA FARIA LIMA - OUTORGA HIS;11 - Integral;01 - Total;000 - Total;3840000.00;355962.89
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO | 011 - OPERACO URBANA FARIA LIMA - OUTORGA | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 9600000.00 | 891706.30;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;011 - OPERAÇO URBANA FARIA LIMA - OUTORGA;11 - Integral;01 - Total;000 - Total;9600000.00;891706.30
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO | 013 - FUNDO ESPECIAL OPERACO URBANA GUA BRANCA - FEAB - OUTORGA | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 73598400.00 | 7465276.35;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;013 - FUNDO ESPECIAL OPERAÇO URBANA µGUA BRANCA - FEAB - OUTORGA;11 - Integral;01 - Total;000 - Total;73598400.00;7465276.35
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO | 014 - FUNDO ESPECIAL OPERACO URBANA GUA BRANCA - FEAB - OUTORGA - HIS | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 26400.00 | 2670.69;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;014 - FUNDO ESPECIAL OPERAÇO URBANA µGUA BRANCA - FEAB - OUTORGA - HIS;11 - Integral;01 - Total;000 - Total;26400.00;2670.69
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 3 - DELEGACO DE SERVIOS PEBLICOS MEDIANTE CONCESSCO PERMISSCO AUTORIZACO OU LICENA | 9 - DEMAIS DELEGAAES DE SERVIOS PEBLICOS | 99 - OUTRAS DELEGAAES DE SERVIOS PEBLICOS | 0 - OUTRAS DELEGAAES DE SERVIOS PEBLICOS | 1 - PRINCIPAL | 01 - OUTORGAS PROVENIENTES DE CONCESSAES - FMD | 00 - OUTORGAS PROVENIENTES DE CONCESSAES - FMD | 000 - OUTORGAS PROVENIENTES DE CONCESSAES - FMD | 000 - OUTORGAS PROVENIENTES DE CONCESSAES - FMD | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 149581358.00 | 16630103.12;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;3 - DELEGAÇO DE SERVIOS PéBLICOS MEDIANTE CONCESSÇO PERMISSÇO AUTORIZAÇO OU LICENA;9 - DEMAIS DELEGAåES DE SERVIOS PéBLICOS;99 - OUTRAS DELEGAåES DE SERVIOS PéBLICOS;0 - OUTRAS DELEGAåES DE SERVIOS PéBLICOS;1 - Principal;01 - OUTORGAS PROVENIENTES DE CONCESSåES - FMD;00 - OUTORGAS PROVENIENTES DE CONCESSåES - FMD;000 - OUTORGAS PROVENIENTES DE CONCESSåES - FMD;000 - OUTORGAS PROVENIENTES DE CONCESSåES - FMD;11 - Integral;01 - Total;000 - Total;149581358.00;16630103.12
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 9 - OUTRAS RECEITAS CORRENTES | 4 - MULTAS E JUROS DE MORA DAS RECEITAS DE CAPITAL | 9 - MULTAS E JUROS DE MORA DE OUTRAS RECEITAS DE CAPITAL | 99 - MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL | 0 - MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL | 2 - MULTA | 76 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS | 00 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS | 000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS | 000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 1755.00 | 166.52;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;9 - OUTRAS RECEITAS CORRENTES;4 - MULTAS E JUROS DE MORA DAS RECEITAS DE CAPITAL;9 - MULTAS E JUROS DE MORA DE OUTRAS RECEITAS DE CAPITAL;99 - MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL;0 - MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL;2 - Multa;76 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS;00 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS;000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS;000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS;11 - Integral;01 - Total;000 - Total;1755.00;166.52
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 2 - RECEITAS DE CAPITAL | 9 - OUTRAS RECEITAS DE CAPITAL | 9 - DEMAIS RECEITAS DE CAPITAL | 9 - DEMAIS RECEITAS DE CAPITAL | 99 - OUTRAS RECEITAS DE CAPITAL | 0 - OUTRAS RECEITAS DE CAPITAL | 1 - PRINCIPAL | 01 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL | 09 - OUTORGA ONEROSA COTA SOLIDARIEDADE - FUNDURB | 000 - OUTORGA ONEROSA COTA SOLIDARIEDADE - FUNDURB | 000 - OUTORGA ONEROSA COTA SOLIDARIEDADE - FUNDURB | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 21606266.00 | 5834283.97;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;2 - RECEITAS DE CAPITAL;9 - OUTRAS RECEITAS DE CAPITAL;9 - DEMAIS RECEITAS DE CAPITAL;9 - DEMAIS RECEITAS DE CAPITAL;99 - OUTRAS RECEITAS DE CAPITAL;0 - OUTRAS RECEITAS DE CAPITAL;1 - Principal;01 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL;09 - OUTORGA ONEROSA COTA SOLIDARIEDADE - FUNDURB;000 - OUTORGA ONEROSA COTA SOLIDARIEDADE - FUNDURB;000 - OUTORGA ONEROSA COTA SOLIDARIEDADE - FUNDURB;11 - Integral;01 - Total;000 - Total;21606266.00;5834283.97
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 2 - RECEITAS DE CAPITAL | 9 - OUTRAS RECEITAS DE CAPITAL | 9 - DEMAIS RECEITAS DE CAPITAL | 9 - DEMAIS RECEITAS DE CAPITAL | 99 - OUTRAS RECEITAS DE CAPITAL | 0 - OUTRAS RECEITAS DE CAPITAL | 1 - PRINCIPAL | 01 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL | 11 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB | 000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB | 000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 1118194927.00 | 88133080.67;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;2 - RECEITAS DE CAPITAL;9 - OUTRAS RECEITAS DE CAPITAL;9 - DEMAIS RECEITAS DE CAPITAL;9 - DEMAIS RECEITAS DE CAPITAL;99 - OUTRAS RECEITAS DE CAPITAL;0 - OUTRAS RECEITAS DE CAPITAL;1 - Principal;01 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL;11 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB;000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB;000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB;11 - Integral;01 - Total;000 - Total;1118194927.00;88133080.67
2024;2024 | 11 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 2 - RECEITAS DE CAPITAL | 9 - OUTRAS RECEITAS DE CAPITAL | 9 - DEMAIS RECEITAS DE CAPITAL | 9 - DEMAIS RECEITAS DE CAPITAL | 99 - OUTRAS RECEITAS DE CAPITAL | 0 - OUTRAS RECEITAS DE CAPITAL | 1 - PRINCIPAL | 01 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL | 11 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB | 000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB | 000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB | 11 - INTEGRAL | 09 - DEDUTORA | 001 - DEDUAES OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB | .00 | -31739.07;2024;11;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;2 - RECEITAS DE CAPITAL;9 - OUTRAS RECEITAS DE CAPITAL;9 - DEMAIS RECEITAS DE CAPITAL;9 - DEMAIS RECEITAS DE CAPITAL;99 - OUTRAS RECEITAS DE CAPITAL;0 - OUTRAS RECEITAS DE CAPITAL;1 - Principal;01 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL;11 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB;000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB;000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB;11 - Integral;09 - Dedutora;001 - Deduäes Outorga Onerosa - Plano Diretor - Direito de Construir - FUNDURB;.00;-31739.07
2024;2024 | 12 | FUNDO MUNICIPAL DE HABITAO - COHAB | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 023 - FUNDO MUNICIPAL DE HABITACO - COHAB | 001 - OUTORGA ONEROSA LEI 13.558/2003 ALTERADA PELA LEI 13.876/2004 | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 3293.00 | .00;2024;12;Fundo Municipal de HabitaÆo - COHAB;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;023 - FUNDO MUNICIPAL DE HABITAÇO - COHAB;001 - OUTORGA ONEROSA LEI 13.558/2003 ALTERADA PELA LEI 13.876/2004;11 - Integral;01 - Total;000 - Total;3293.00;.00
2024;2024 | 12 | FUNDO MUNICIPAL DE HABITAO - COHAB | 2 - RECEITAS DE CAPITAL | 9 - OUTRAS RECEITAS DE CAPITAL | 9 - DEMAIS RECEITAS DE CAPITAL | 9 - DEMAIS RECEITAS DE CAPITAL | 99 - OUTRAS RECEITAS DE CAPITAL | 0 - OUTRAS RECEITAS DE CAPITAL | 1 - PRINCIPAL | 01 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL | 12 - OUTORGA ONEROSA - LEI DE ANISTIA | 000 - OUTORGA ONEROSA - LEI DE ANISTIA | 000 - OUTORGA ONEROSA - LEI DE ANISTIA | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 720000.00 | .00;2024;12;Fundo Municipal de HabitaÆo - COHAB;2 - RECEITAS DE CAPITAL;9 - OUTRAS RECEITAS DE CAPITAL;9 - DEMAIS RECEITAS DE CAPITAL;9 - DEMAIS RECEITAS DE CAPITAL;99 - OUTRAS RECEITAS DE CAPITAL;0 - OUTRAS RECEITAS DE CAPITAL;1 - Principal;01 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL;12 - OUTORGA ONEROSA - LEI DE ANISTIA;000 - OUTORGA ONEROSA - LEI DE ANISTIA;000 - OUTORGA ONEROSA - LEI DE ANISTIA;11 - Integral;01 - Total;000 - Total;720000.00;.00
2024;2024 | 12 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO | 009 - OPERACO URBANA FARIA LIMA - OUTORGA HIS | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 3840000.00 | 399821.95;2024;12;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;009 - OPERAÇO URBANA FARIA LIMA - OUTORGA HIS;11 - Integral;01 - Total;000 - Total;3840000.00;399821.95
2024;2024 | 12 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO | 011 - OPERACO URBANA FARIA LIMA - OUTORGA | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 9600000.00 | 931036.85;2024;12;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;011 - OPERAÇO URBANA FARIA LIMA - OUTORGA;11 - Integral;01 - Total;000 - Total;9600000.00;931036.85
2024;2024 | 12 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO | 013 - FUNDO ESPECIAL OPERACO URBANA GUA BRANCA - FEAB - OUTORGA | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 73598400.00 | 8374306.39;2024;12;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;013 - FUNDO ESPECIAL OPERAÇO URBANA µGUA BRANCA - FEAB - OUTORGA;11 - Integral;01 - Total;000 - Total;73598400.00;8374306.39
2024;2024 | 12 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 2 - VALORES MOBILIRIOS | 1 - JUROS E CORREAES MONETRIAS | 05 - JUROS DE TOTULOS DE RENDA | 0 - JUROS DE TOTULOS DE RENDA | 1 - PRINCIPAL | 01 - FUNDOS DE INVESTIMENTOS E APLICAAES EM COTAS - RENDA FIXA | 09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS | 032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO | 014 - FUNDO ESPECIAL OPERACO URBANA GUA BRANCA - FEAB - OUTORGA - HIS | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 26400.00 | 2999.74;2024;12;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;2 - VALORES MOBILIµRIOS;1 - JUROS E CORREåES MONETµRIAS;05 - JUROS DE TÖTULOS DE RENDA;0 - JUROS DE TÖTULOS DE RENDA;1 - Principal;01 - FUNDOS DE INVESTIMENTOS E APLICAåES EM COTAS - RENDA FIXA;09 - TESOURO MUNICIPAL - RECURSOS VINCULADOS;032 - SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;014 - FUNDO ESPECIAL OPERAÇO URBANA µGUA BRANCA - FEAB - OUTORGA - HIS;11 - Integral;01 - Total;000 - Total;26400.00;2999.74
2024;2024 | 12 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 3 - RECEITA PATRIMONIAL | 3 - DELEGACO DE SERVIOS PEBLICOS MEDIANTE CONCESSCO PERMISSCO AUTORIZACO OU LICENA | 9 - DEMAIS DELEGAAES DE SERVIOS PEBLICOS | 99 - OUTRAS DELEGAAES DE SERVIOS PEBLICOS | 0 - OUTRAS DELEGAAES DE SERVIOS PEBLICOS | 1 - PRINCIPAL | 01 - OUTORGAS PROVENIENTES DE CONCESSAES - FMD | 00 - OUTORGAS PROVENIENTES DE CONCESSAES - FMD | 000 - OUTORGAS PROVENIENTES DE CONCESSAES - FMD | 000 - OUTORGAS PROVENIENTES DE CONCESSAES - FMD | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 149581358.00 | 8724473.53;2024;12;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;3 - RECEITA PATRIMONIAL;3 - DELEGAÇO DE SERVIOS PéBLICOS MEDIANTE CONCESSÇO PERMISSÇO AUTORIZAÇO OU LICENA;9 - DEMAIS DELEGAåES DE SERVIOS PéBLICOS;99 - OUTRAS DELEGAåES DE SERVIOS PéBLICOS;0 - OUTRAS DELEGAåES DE SERVIOS PéBLICOS;1 - Principal;01 - OUTORGAS PROVENIENTES DE CONCESSåES - FMD;00 - OUTORGAS PROVENIENTES DE CONCESSåES - FMD;000 - OUTORGAS PROVENIENTES DE CONCESSåES - FMD;000 - OUTORGAS PROVENIENTES DE CONCESSåES - FMD;11 - Integral;01 - Total;000 - Total;149581358.00;8724473.53
2024;2024 | 12 | PREFEITURA DO MUNICOPIO DE SCO PAULO | 1 - RECEITAS CORRENTES | 9 - OUTRAS RECEITAS CORRENTES | 4 - MULTAS E JUROS DE MORA DAS RECEITAS DE CAPITAL | 9 - MULTAS E JUROS DE MORA DE OUTRAS RECEITAS DE CAPITAL | 99 - MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL | 0 - MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL | 2 - MULTA | 76 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS | 00 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS | 000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS | 000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS | 11 - INTEGRAL | 01 - TOTAL | 000 - TOTAL | 1755.00 | .00;2024;12;PREFEITURA DO MUNICÖPIO DE SÇO PAULO;1 - RECEITAS CORRENTES;9 - OUTRAS RECEITAS CORRENTES;4 - MULTAS E JUROS DE MORA DAS RECEITAS DE CAPITAL;9 - MULTAS E JUROS DE MORA DE OUTRAS RECEITAS DE CAPITAL;99 - MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL;0 - MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL;2 - Multa;76 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS;00 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS;000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS;000 - OUTORGA ONEROSA - PLANO DIRETOR - DIREITO DE CONSTRUIR - FUNDURB - MULTAS E JUROS;11 - Integral;01 - Total;000 - Total;1755.00;.00
